"trial","sample","cell","time_in_ms","recording_name","hemi","genotype","sex","age","region"
73,10241,1,1024.1,"20080930002","LH","CBA/J","M","P30:60","ACx"
73,12145,1,1214.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
73,12706,1,1270.6,"20080930002","LH","CBA/J","M","P30:60","ACx"
73,14126,1,1412.6,"20080930002","LH","CBA/J","M","P30:60","ACx"
73,14940,1,1494,"20080930002","LH","CBA/J","M","P30:60","ACx"
74,5575,1,557.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
74,6544,1,654.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
74,7167,1,716.7,"20080930002","LH","CBA/J","M","P30:60","ACx"
74,8689,1,868.9,"20080930002","LH","CBA/J","M","P30:60","ACx"
74,10105,1,1010.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
74,12402,1,1240.2,"20080930002","LH","CBA/J","M","P30:60","ACx"
74,15364,1,1536.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
75,244,1,24.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
75,5386,1,538.6,"20080930002","LH","CBA/J","M","P30:60","ACx"
75,8485,1,848.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
75,9409,1,940.9,"20080930002","LH","CBA/J","M","P30:60","ACx"
75,10520,1,1052,"20080930002","LH","CBA/J","M","P30:60","ACx"
75,12475,1,1247.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
75,13442,1,1344.2,"20080930002","LH","CBA/J","M","P30:60","ACx"
75,14314,1,1431.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
76,1027,1,102.7,"20080930002","LH","CBA/J","M","P30:60","ACx"
76,7933,1,793.3,"20080930002","LH","CBA/J","M","P30:60","ACx"
76,8174,1,817.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
76,9074,1,907.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
76,13579,1,1357.9,"20080930002","LH","CBA/J","M","P30:60","ACx"
77,665,1,66.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
77,1482,1,148.2,"20080930002","LH","CBA/J","M","P30:60","ACx"
77,2250,1,225,"20080930002","LH","CBA/J","M","P30:60","ACx"
77,3281,1,328.1,"20080930002","LH","CBA/J","M","P30:60","ACx"
77,4033,1,403.3,"20080930002","LH","CBA/J","M","P30:60","ACx"
77,4790,1,479,"20080930002","LH","CBA/J","M","P30:60","ACx"
77,5898,1,589.8,"20080930002","LH","CBA/J","M","P30:60","ACx"
77,8945,1,894.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
77,10423,1,1042.3,"20080930002","LH","CBA/J","M","P30:60","ACx"
77,11569,1,1156.9,"20080930002","LH","CBA/J","M","P30:60","ACx"
77,14090,1,1409,"20080930002","LH","CBA/J","M","P30:60","ACx"
77,15050,1,1505,"20080930002","LH","CBA/J","M","P30:60","ACx"
78,1175,1,117.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
78,14741,1,1474.1,"20080930002","LH","CBA/J","M","P30:60","ACx"
79,5609,1,560.9,"20080930002","LH","CBA/J","M","P30:60","ACx"
81,2411,1,241.1,"20080930002","LH","CBA/J","M","P30:60","ACx"
81,3822,1,382.2,"20080930002","LH","CBA/J","M","P30:60","ACx"
81,5294,1,529.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
81,11454,1,1145.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
82,1367,1,136.7,"20080930002","LH","CBA/J","M","P30:60","ACx"
82,3480,1,348,"20080930002","LH","CBA/J","M","P30:60","ACx"
83,186,1,18.6,"20080930002","LH","CBA/J","M","P30:60","ACx"
83,1522,1,152.2,"20080930002","LH","CBA/J","M","P30:60","ACx"
84,2458,1,245.8,"20080930002","LH","CBA/J","M","P30:60","ACx"
84,4078,1,407.8,"20080930002","LH","CBA/J","M","P30:60","ACx"
84,4614,1,461.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
84,6990,1,699,"20080930002","LH","CBA/J","M","P30:60","ACx"
84,8253,1,825.3,"20080930002","LH","CBA/J","M","P30:60","ACx"
84,9896,1,989.6,"20080930002","LH","CBA/J","M","P30:60","ACx"
84,11123,1,1112.3,"20080930002","LH","CBA/J","M","P30:60","ACx"
84,12567,1,1256.7,"20080930002","LH","CBA/J","M","P30:60","ACx"
86,11822,1,1182.2,"20080930002","LH","CBA/J","M","P30:60","ACx"
86,13413,1,1341.3,"20080930002","LH","CBA/J","M","P30:60","ACx"
86,14487,1,1448.7,"20080930002","LH","CBA/J","M","P30:60","ACx"
86,15026,1,1502.6,"20080930002","LH","CBA/J","M","P30:60","ACx"
87,7701,1,770.1,"20080930002","LH","CBA/J","M","P30:60","ACx"
87,8995,1,899.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
87,15071,1,1507.1,"20080930002","LH","CBA/J","M","P30:60","ACx"
88,3555,1,355.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
88,5605,1,560.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
88,6403,1,640.3,"20080930002","LH","CBA/J","M","P30:60","ACx"
